# Log started: 2023-01-02 00:59:49 +0100
[2023-01-02 00:59:49] ~↪ »RERUN« #FFFiesta Day 26 - FFXIII - A race through the series with @BGG02 - !Fiesta in chat for more information! (Final Fantasy XIII)~
[2023-01-02 00:59:49] Joining #sevensins..
[2023-01-02 10:04:26] <Skyblueaqua> si puedes hablar español Seven? LUL
[2023-01-02 10:04:38] <stalkor> Everyone should play secret of monkey island
[2023-01-02 10:04:42] <Skyblueaqua> bien hecho
[2023-01-02 10:04:50] <%+str4d> yo
[2023-01-02 10:04:51] <Skyblueaqua> yo hablo español
[2023-01-02 10:05:03] <Skyblueaqua> jajaja
[2023-01-02 10:05:05] <%TidusZecht> yo lol
[2023-01-02 10:05:20] <Skyblueaqua> bien hecho is well done LuvSign
[2023-01-02 10:05:29] <Skyblueaqua> exacto
[2023-01-02 10:05:29] <%Neobullseye> Ojo? cirThink Kappa
[2023-01-02 10:05:57] <%+ReimHikari> @Neobullseye here we say that as something impresive LUL
