# Log started: 2023-01-03 00:01:09 +0100
[2023-01-03 00:01:09] <%+Demonic_Vortex_Oni> sevenCool
[2023-01-03 09:20:42] <@%Amalthes> [13] "I don't want just one thing in there." -Seven 2014
[2023-01-03 09:20:48] <%TidusZecht> sevenLewd
[2023-01-03 09:20:57] <%Neobullseye> bggLewd
[2023-01-03 09:21:22] <%$Xanster> Running the Rerun so that the Rerun runs the Run to become the Runned Rerun  monkaHmm
[2023-01-03 09:22:04] VIEWERS: 115
[2023-01-03 09:22:20] <%TidusZecht> bggLewd
[2023-01-03 09:22:33] <%TidusZecht> seven caught with his pants down
[2023-01-03 09:22:47] <%wee_wah> thank you for being an adult about this, Seven
[2023-01-03 09:22:48] <%TidusZecht> i bet you'd get great internet connection up there
[2023-01-03 09:22:51] <%Neobullseye> <Cue Duck Tales Moon theme>
[2023-01-03 09:23:00] <%+Niknar84> Can you make it look like a whale?
[2023-01-03 09:23:09] <%TidusZecht> a lunar one?
[2023-01-03 09:23:22] [Notification] Neobullseye gifted a Tier 1 sub to KerbalSpacePod! They have given 1445 Gift Subs in the channel!
[2023-01-03 09:23:38] <%Poidrac> okay... I came in to Seven saying he's shooting himself to the moon... So... erm... good luck... ?
[2023-01-03 09:23:59] <BoomBaybi> You’ll never live this shame down bggSip
[2023-01-03 09:24:01] <%Neobullseye> LUL
[2023-01-03 09:24:01] [Notification] TidusZecht gifted a Tier 1 sub to bigspaceship! They have given 56 Gift Subs in the channel!
[2023-01-03 09:24:04] VIEWERS: 132
[2023-01-03 09:24:08] <%+WayneG947> LUL
[2023-01-03 09:24:10] <%+WayneG947> cute
[2023-01-03 09:24:18] <%wee_wah> you should restart 13
[2023-01-03 09:24:31] <%ooKaballoo> well, it is the game that is designed that way. Cognitively, you know ff13 mechanics which made you forget about the rule. So it is ok
[2023-01-03 09:24:31] [Usernotice] Megalith is gifting 1 Tier 1 Subs to SevenSins's community! They've gifted a total of 82 in the channel!
[2023-01-03 09:24:32] [Notification] Megalith gifted a Tier 1 sub to CbDbEbFbGbAbBb!
[2023-01-03 09:24:36] BITS: Niknar84 (1111)
